rank,gu,dong,news_count,severity_points,rainfall_points,max_hourly_mm,max_cumulative_mm,casualty_hits,property_hits,life_hits,volume_bonus,total_score,top_keywords
1,동구,계림1동,235,454,44,142.0,600.0,37,127,89,5.4638318050256105,503.4638318050256,"피해, 지역, 광주광역시, 광주시, 전남, 지원, 본부, 발생, 이날, 안전, 도로, 재난, 주민, 현장, 상황, 사업, 폭염, 시민, 시장, 대응"
2,동구,서남동,43,117,14,86.0,,13,31,16,3.784189633918261,134.78418963391826,"피해, 지역, 전남, 이날, 현장, 도로, 상황, 발생, 전국, 지원, 사업, 광주광역시, 집중, 시장, 재난, 점검, 복구, 충남, 안전, 광주시"
3,동구,지원1동,31,54,0,,,3,18,9,3.4657359027997265,57.46573590279973,"할아버지, 최씨, 구조, 시민, 노인, 직원들, 물살, 차량, 상황, 생각, 피해, 다리, 공업사, 광주시, 최승일, 감사, 광주광역시, 소태동, 운영, 빗물"
4,동구,지산1동,15,25,4,142.0,,1,7,8,2.772588722239781,31.77258872223978,"싱크홀, 발생, 지산동, 도로, 피해, 지반, 안전, 조선대, 침하, 주민, 복구, 지역, 광주광역시, 사고, 개통, 도심, 사업, 우회, 우회도로, 인근"
5,동구,학운동,10,27,0,,,2,8,5,2.3978952727983707,29.39789527279837,"참사, 전남, 대피, 감리, 지역, 현장, 이날, 주민, 피해, 유가족들, 범람, 명령, 안전, 지원, 지하, 광주광역시, 전국, 광주시, 유가족, 재난"
