rank,gu,dong,news_count,severity_points,rainfall_points,max_hourly_mm,max_cumulative_mm,casualty_hits,property_hits,life_hits,volume_bonus,total_score,top_keywords
1,광산구,송정1동,274,574,21,80.0,600.0,36,189,88,5.616771097666572,600.6167710976665,"피해, 지역, 지원, 광주시, 광주광역시, 복구, 재난, 현장, 전남, 안전, 대응, 상황, 본부, 발생, 점검, 시장, 사업, 집중, 시민, 시설"
2,광산구,삼도동,101,259,10,80.0,180.0,21,75,46,4.624972813284271,273.6249728132843,"본부, 피해, 광주광역시, 사업, 지역, 시장, 현장, 도시, 상황, 상수도, 점검, 건설, 재난, 지원, 안전, 전남, 정책, 도로, 발생, 대비"
3,광산구,평동,57,149,16,142.0,,5,55,24,4.060443010546419,169.0604430105464,"지역, 시장, 전남, 피해, 현장, 지원, 사업, 수해, 복구, 광주시, 상황, 장록교, 광주광역시, 구간, 재가설, 점검, 익산시, 건의, 강기정, 운행"
4,광산구,본량동,47,105,18,,600.0,11,25,22,3.871201010907891,126.8712010109079,"피해, 발생, 도로, 싱크홀, 안전, 전남, 지역, 이날, 지산동, 광주광역시, 점검, 광주시, 주민, 주택, 복구, 재난, 인근, 대비, 지하, 현장"
5,광산구,동곡동,30,60,11,86.0,400.0,3,19,13,3.4339872044851463,74.43398720448515,"전남, 피해, 지역, 도로, 차량, 광주광역시, 하천, 이날, 용봉동, 강수량, 발효, 일대, 도심, 고립, 범람, 주민, 현장, 광주시, 수해, 주택"
