rank,gu,dong,news_count,severity_points,rainfall_points,max_hourly_mm,max_cumulative_mm,casualty_hits,property_hits,life_hits,volume_bonus,total_score,top_keywords
1,북구,중앙동,611,1516,93,300.0,600.0,149,425,219,6.416732282512326,1615.4167322825124,"피해, 지역, 광주광역시, 지원, 복구, 전남, 광주시, 현장, 재난, 발생, 상황, 주민, 안전, 점검, 시장, 이날, 집중, 본부, 대응, 수해"
2,북구,신안동,83,249,7,142.0,412.0,21,76,34,4.430816798843313,260.4308167988433,"피해, 지역, 신안동, 복구, 지원, 광주시, 상황, 주민, 광주광역시, 재난, 전남, 대책, 시장, 발생, 현장, 신안교, 시민, 이날, 하천, 점검"
3,북구,건국동,70,176,7,80.0,400.0,14,60,14,4.262679877041316,187.2626798770413,"피해, 서비스, 복구, 지원, 점검, 수해, 지역, 현장, 집중, 특별, 재난, 총리, 상황, 센터, 제공, 발생, 광주광역시, 가전제품, 방문, 파견"
4,북구,석곡동,36,153,11,75.0,600.0,24,28,25,3.610917912644224,167.61091791264425,"피해, 주민, 지역, 인근, 전남, 수색, 대피, 실종, 신고, 광주광역시, 접수, 하천, 현장, 발생, 남성, 상황, 이날, 광주시, 실종자, 앵커"
5,북구,용봉동,27,57,13,86.0,400.0,3,18,12,3.332204510175204,73.3322045101752,"전남, 피해, 지역, 하천, 차량, 광주광역시, 발효, 용봉동, 강수량, 이날, 도로, 나주, 도심, 범람, 일대, 주택, 호우경보, 시간, 통제, 기록"
