rank,gu,dong,news_count,severity_points,rainfall_points,max_hourly_mm,max_cumulative_mm,casualty_hits,property_hits,life_hits,volume_bonus,total_score,top_keywords
1,남구,양림동,208,391,46,142.0,600.0,22,127,71,5.342334251964811,442.3423342519648,"피해, 지역, 광주광역시, 본부, 광주시, 지원, 전남, 시장, 재난, 현장, 상황, 사업, 점검, 안전, 발생, 도로, 도시, 이날, 집중, 대비"
2,남구,백운1동,10,27,16,86.0,,0,9,9,2.3978952727983707,45.39789527279837,"전남, 하천, 시간, 대피, 최대, 범람, 인근, 도로, 지역, 피해, 일대, 주민, 시간당, 이날, 강수량, 광주광역시, 남해안, 도심, 상태, 안전"
3,남구,봉선1동,14,30,3,,200.0,2,10,4,2.70805020110221,35.70805020110221,"폭염, 대응, 지역, 대비, 재난, 안전, 점검, 강화, 전남, 현장, 추가, 피해, 설치, 대책, 시민, 취약, 시장, 광주시, 방안, 보호"
4,남구,진월동,8,20,2,51.0,,1,6,5,2.19722457733622,24.19722457733622,"전남, 도로, 피해, 고립, 차량, 이날, 구조, 지역, 빗물, 당국, 인근, 주변, 운전자, 일대, 진월동, 광주광역시, 나주, 발생, 강수량, 담양"
5,남구,방림1동,8,18,0,,,0,7,4,2.19722457733622,20.19722457733622,"피해, 주택, 발생, 건축물, 방림동, 광주전남, 도로, 사고, 상수도관, 시장, 전남, 광주시, 인근, 최고, 광주광역시, 붕괴, 신안, 유럽, 이날, 통제"
